date,year,month,month_name,variable,value,source_page,source_url,datatable_index
2015-03-01,2015,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),865.96,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-04-01,2015,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),1010.16,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-05-01,2015,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),830.65,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-06-01,2015,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),873.77,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-07-01,2015,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),727.21,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-08-01,2015,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),777.8,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-09-01,2015,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),696.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-10-01,2015,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),731.88,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-11-01,2015,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),922.57,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-12-01,2015,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),868.48,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-01-01,2016,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),877.07,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-02-01,2016,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),881.79,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-03-01,2016,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),857.7,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-04-01,2016,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),748.95,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-05-01,2016,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),878.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-06-01,2016,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),894.96,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-07-01,2016,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),874.64,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-08-01,2016,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),995.82,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-09-01,2016,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),1001.19,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-10-01,2016,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),888.67,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-11-01,2016,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),1026.1,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016-12-01,2016,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),1212.79,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-01-01,2017,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),1306.12,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-02-01,2017,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),1228.12,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-03-01,2017,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),1420.13,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-04-01,2017,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),1152.15,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-05-01,2017,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),1146.94,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-06-01,2017,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),944.77,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-07-01,2017,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),896.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-08-01,2017,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),1029.61,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-09-01,2017,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),963.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-10-01,2017,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),1051.08,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017-11-01,2017,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),1341.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
